,name,category,author,categories_list,view_count,ratting_value,ratting_count,chapter_cout
74,Dog Girl,Manhwa,Đang cập nhật,"Manhwa, ","59,218",4,59218,Chapter 4
75,Brothers Conflict Purupuru Manga,Doujinshi,Cotorino Deathco,"Shoujo, Comedy, Doujinshi, ","59,207",4,59207,Brothers conflict purupuru manga chap 4
76,"Ái phi ,ta muốn thịt nàng",Cổ Đại,Luen,"Cổ Đại, Romance, ","59,298",4,59298,"Đêm đó,lẽ nào là nàng"
77,[ Đam mĩ / BNHA ] TodoDeku - A house of me and you,Anime,Kẻ Thầm Lặng,"Anime, Đam Mỹ, Comic, Soft Yaoi, Martial Arts, Manga, Yaoi, ","59,203",4,59203,Chap 4 : Tỏ tình
78,Phá vân,Đam Mỹ,Hoài  Thượng,"Manhua, Đam Mỹ, ","59,198",4,59198,Chap 4
79,Lọ Lem Ca Hát,Romance,Yu Nunmi,"Drama, Romance, Shoujo, ","59,197",4,59197,Lọ lem ca hát tập 3.4
80,Stories of Sakuya,Fantasy,Tarou,"Fantasy, Shoujo, Shoujo Ai, ","59,197",4,59197,Chapter 2: Awakening Melody
81,Mạnh Bà Truy Phu Ký,Manhua,Mạch Thượng,"Romance, Comedy, Manhua, Webtoon, ","59,199",4,59199,Chapter 21
82,Evyione,Drama,Kim Young Hee,"Drama, Fantasy, Shoujo, Historical, ","59,193",4,59193,Evyione chương 15.1
83,Doko e mo yukenai ki ga shiteta,School Life,Ogura Muku,"School Life, Manga, ","59,192",4,59192,Chapter 3
84,Cô Vợ Nhỏ Của Công Tước Ác Ma,Romance,Bạch Thiên Cửu,"Romance, Manhwa, ","59,196",4,59196,Tâm sự 
85,Thư Tay Tình Yêu Của Sơ Hạ,Manhua,Y U I,"Manhua, ","59,185",4,59185,Chương 6
86,Tinh Hải Mê Long,Comedy,热麦漫画,"Romance, Comedy, Manhua, ","89,658",4,89658,Tinh Hải Mê Long – Chap 77
87,Touhou - Plastic Heart,,Đang cập nhật,", ","59,181",4,59181,Chapter 3
88,Liar Game,Manga,Kaitani Shinobu,"Mystery, Manga, Trinh Thám, ","59,291",4,59291,Chapter 201
89,Samon-kun wa Summoner,Action,,"Action, School Life, Comedy, Supernatural, Shounen, ","59,170",4,59170,Samon
90,Harapeko No Marie,Manga,Đang cập nhật,"Manga, ","59,170",4,59170,Chapter 19
91,I Love You Suzuki,School Life,Đang cập nhật,"Romance, School Life, Shoujo, ","59,213",4,59213,Chapter 18
92,Tensei Shitara Slime Datta Ken (mega team),Shounen,Đang cập nhật,"Fantasy, Comedy, Adventure, Shounen, ","59,174",4,59174,Chapter 65.5
93,Kẻ Đến Trị Tam Quốc,Comedy,,"Comedy, Xuyên Không, Historical, ","59,163",4,59163,Kẻ đến trị tam quốc chap 010
94,Catch Me When The Skylarks Sing,Manhua,Endou Enu,"Manhua, Slice of Life, Romance, School Life, Đam Mỹ, Soft Yaoi, ","59,159",4,59159,Chapter 4
95,Kami-sama no joker - pray for desires,Seinen,KUSUNOKI Michiharu,"Drama, Mystery, Romance, Seinen, ","59,159",4,59159,Kami
96,Cái Giá,Tragedy,Jimel,"Drama, One Shot, VnComic, Tragedy, Shounen, ","59,144",4,59144,One Shot
97,Doll,Josei,Mihara Mitsukazu,"Drama, Psychological, Romance, Josei, Sci-fi, ","59,136",4,59136,Doll chap 2
98,Vong Ưu Thảo,Romance,Đang cập nhật,"Mystery, Fantasy, Romance, Manhua, Shoujo, ","59,130",4,59130,Chapter 3
99,Bạn trai tôi tên Trục Lưu,School Life,Lạc Tiểu Hy,"Romance, School Life, Xuyên không, ","59,128",4,59128,Chương 2
100,Hozuki-san Chi no Aneki,Romance,Igarashi Ran,"Romance, School Life, Manga, ","59,126",4,59126,Chapter 34: – End
101,Huck (2015),Psychological,,"Psychological, Supernatural, Adventure, Action, Comic, Manga, ","59,120",4,59120,Chapter 6
102,Liệp Chiến,Manhua,Trịnh Kiến Hòa,"Fantasy, Martial Arts, Manhua, ","59,116",4,59116,Liệp chiến chap 05
103,Yakushoku Distpiari - Gesellshaft Blue,Adventure,Senga Fumitaka,"Action, Fantasy, Seinen, Adventure, ","59,116",4,59116,Yakushoku distpiari 
104,Shingeki No Kyojin Doujinshi - Doujin Collection,Doujinshi,Tổng hợp,"Doujinshi, ","59,115",4,59115,Chapter 60
105,Long Mạch Võ Thần,Action,Đang cập nhật,"Action, Mystery, Xuyên Không, Manhua, ","59,117",4,59117,Chapter 76
106,Gunner,Shounen,Đang cập nhật,"Manhwa, Shounen, Gender Bender, Adventure, Historical, Action, Martial Arts, ","59,112",4,59112,Chapter 27
107,D.Gray-man,Comedy,Katsura Hoshino,"Action, Seinen, Comedy, Supernatural, Shounen, ","59,109",4,59109,D.gray
108,Thiên Thần Sa Ngã,Romance,Đang cập nhật,"Action, Fantasy, Romance, Xuyên Không, Manhua, ","59,109",4,59109,Chapter 19
109,Dragons Rioting,Martial Arts,WATANABE Tsuyoshi,"Harem, Shounen, School Life, Action, Comedy, Martial Arts, ","59,107",4,59107,Chapter 44
110,Long Thần - Trung Bộ Khúc,Action,Khưu Phúc Long,"Action, Manhua, Martial Arts, Sci-fi, Supernatural, ","59,084",4,59084,Long Thần 
111,Aoharu x Kikanjuu,Shounen,Naoe,"Action, Comedy, Shounen, ","59,085",4,59085,Chapter 34
112,Okusama ga Seito Kaichou!,Harem,Nakata Yumi,"Romance, School Life, Harem, Comedy, Shounen, ","59,101",4,59101,Okusama ga seito kaichou! chapter 46
113,tôi là yandere,Horror,mimikaji,"Horror, ","59,082",4,59082,chap 3
114,Có anh trong đời,Comedy,Han Yu Rang,"Drama, Manhwa, Romance, School Life, Shoujo, Comedy, ","59,077",4,59077,Chapter 8
115,You & Me (Con ma dễ thương),,Đang cập nhật,", ","59,078",4,59078,Chapter 48
116,Sumire Syrup,Shoujo,Sato Kaede,"Romance, School Life, Shoujo, ","59,070",4,59070,Sumire syrup 
117,Orontes Renka (Anatolia Story side story),Drama,Chie Shinohara,"Drama, Romance, Shoujo, Supernatural, Adventure, Historical, Action, ","59,085",4,59085,Orontes renka (anatolia story side story) chap 3
118,Puella Magi Madoka Magica,Anime,"Hanokage,Gen Urobuchi","Mystery, Seinen, Fantasy, Horror, Drama, School Life, Supernatural, Anime, Action, Tragedy, ","59,067",4,59067,Puella magi madoka magica 12
119,Bức Tường Cũ,Horror,Đang cập nhật,"Horror, ","59,066",4,59066,Chapter 3
120,Gin Và Tonic,Romance,Xám hấp hối muốn các bạn vào web ủng hộ....,"Romance, Webtoon, Đam Mỹ, ","59,063",4,59063,Chương 1: Cậu bé đáng yêu?
121,Boku Wa Uchuujin Ni Koi O Shita,Shoujo,Đang cập nhật,"Romance, School Life, Shoujo, Comedy, ","59,059",4,59059,Chapter 1
